id,rmp_id,university_id,university_name,name,url,reviews,would_take_again,level_of_difficulty,average_rating,average_sentiment,tags
1345,2307513,64,University of Nevada--Las Vegas,"Erdem, Lindsay",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2307513&showMyProfs=true,5,100,1.2,5,1.04973412,"Group projects,Clear grading criteria,Caring,Lecture heavy,Caring,Group projects,Group projects,Clear grading criteria,Lecture heavy"
1448,2144607,68,North Dakota State University,"Park, Kwangsoo",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2144607&showMyProfs=true,8,100,4.4,5,0.59531511,"Respected,Amazing lectures,Caring,Participation matters,Skip class? You won't pass.,Respected,Participation matters,Skip class? You won't pass.,Participation matters,Skip class? You won't pass.,Caring,Respected,Participation matters,Skip class? You won't pass."
1500,2435464,72,James Madison University,"Corgan, Katharine",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2435464&showMyProfs=true,8,100,1.6,5,0.64666486,"Participation matters,Caring,Group projects,Gives good feedback,Lots of homework,Gives good feedback,Clear grading criteria,EXTRA CREDIT,Lots of homework,Group projects,Caring,Lots of homework,Beware of pop quizzes,Lecture heavy,Participation matters,Group projects,Caring,Gives good feedback,Respected,Participation matters,Gives good feedback,Participation matters,Caring,Participation matters,Inspirational,Amazing lectures,Participation matters,Caring,GROUP PROJECTS"
1545,2265772,76,California State Polytechnic University--Pomona,"Kim, Scott",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2265772&showMyProfs=true,5,100,2.4,5,0.66997266,
1651,1954504,86,Grand Valley State University,"Gleason, Mark",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1954504&showMyProfs=true,37,100,1.5,5,0.7036598,"Respected,Amazing lectures,Inspirational,Hilarious,Would take again,Graded by few things,Clear grading criteria,Respected,Inspirational,Hilarious,Inspirational,Hilarious,Caring,Respected,Inspirational,Caring,Group projects,Hilarious,Amazing lectures,Group projects,Hilarious,Caring,Gives good feedback,Inspirational,Group projects,Hilarious,Amazing lectures,Caring,Participation matters,Hilarious,Amazing lectures,Respected,Hilarious,Amazing lectures,Inspirational,Hilarious,Caring,Inspirational,Hilarious,Caring,Participation matters,Amazing lectures,GROUP PROJECTS,Respected,Hilarious,Would take again,Would take again,SO MANY PAPERS,Tests? Not many,Respected,Participation matters,GROUP PROJECTS,Participation matters,Clear grading criteria,GROUP PROJECTS,Gives good feedback,Respected,Clear grading criteria,Respected,Inspirational,Caring,Gives good feedback,Inspirational,Amazing lectures,Inspirational,Hilarious,Amazing lectures"
1691,1930403,87,San Francisco State University,"Aday, James",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1930403&showMyProfs=true,18,100,1.5,5,0.45141255,"Amazing lectures,Clear grading criteria,Skip class? You won't pass.,Gives good feedback,Inspirational,Gives good feedback,Accessible outside class,Amazing lectures,Gives good feedback,Skip class? You won't pass.,Hilarious,Gives good feedback,Respected,Skip class? You won't pass.,Inspirational,Clear grading criteria,Amazing lectures,Respected,Inspirational,Caring,Respected,Participation matters,Caring"
1711,302248,89,Fisher College,"Pithis, Nancy",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=302248&showMyProfs=true,5,100,2.8,5,0.76948662,"Gives good feedback,Hilarious,Respected,Gives good feedback,Respected,Hilarious"
1713,1396800,91,Stockton University,"Zakar, Shawn",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1396800&showMyProfs=true,43,100,1.7,5,0.46180689,"Inspirational,Respected,Amazing lectures,Group projects,Caring,Respected,Inspirational,Amazing lectures,Respected,Inspirational,Amazing lectures,Inspirational,Group projects,Amazing lectures,Inspirational,Group projects,Amazing lectures,Graded by few things,Group projects,Hilarious,Inspirational,Amazing lectures,Caring,Respected,Amazing lectures,GROUP PROJECTS,Respected,Inspirational,Amazing lectures,Respected,Inspirational,Hilarious,Respected,Hilarious,Amazing lectures,Amazing lectures,Caring,GROUP PROJECTS,Respected,Inspirational,GROUP PROJECTS,Participation matters,Inspirational,GROUP PROJECTS,Respected,Inspirational,Amazing lectures,Participation matters,Inspirational,Hilarious,Respected,Amazing lectures,Would take again,Gives good feedback,Respected,Caring,Respected,Participation matters,Inspirational,Inspirational,Amazing lectures,GROUP PROJECTS,Participation matters,Inspirational,Amazing lectures,Gives good feedback,Inspirational,ACCESSIBLE OUTSIDE CLASS,Hilarious,Amazing lectures,GROUP PROJECTS"
1715,1816694,91,Stockton University,"Bokunewicz, Jane",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1816694&showMyProfs=true,18,100,1.7,5,0.62870804,"Gives good feedback,Caring,Clear grading criteria,Participation matters,Respected,Gives good feedback,Participation matters,Caring,Gives good feedback,Accessible outside class,Clear grading criteria,Gives good feedback,Inspirational,Caring,Gives good feedback,Respected,Clear grading criteria,Clear grading criteria,Amazing lectures,Caring,Gives good feedback,Participation matters,Caring,Gives good feedback,Clear grading criteria,Caring,Respected,ACCESSIBLE OUTSIDE CLASS,Caring,Gives good feedback,Respected,Caring,Inspirational,ACCESSIBLE OUTSIDE CLASS,Caring,Gives good feedback,Respected,Clear grading criteria,Gives good feedback,Participation matters,Caring,Gives good feedback,Participation matters,Caring,Gives good feedback,Clear grading criteria,Caring,Respected,Participation matters,GROUP PROJECTS"
1724,2195793,92,University of West Florida,"Atadil, Ata",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2195793&showMyProfs=true,26,100,2.8,5,0.70632745,"Participation matters,Caring,Gives good feedback,Hilarious,Group projects,Gives good feedback,Respected,Participation matters,Participation matters,Inspirational,Hilarious,Participation matters,Hilarious,Caring,Group projects,Hilarious,Caring,Group projects,Hilarious,Caring,Gives good feedback,Respected,Caring,Gives good feedback,Amazing lectures,Caring,Gives good feedback,Clear grading criteria,Hilarious,Participation matters,Hilarious,Caring,Participation matters,Inspirational,Hilarious,Respected,Participation matters,Caring,Inspirational,Amazing lectures,GROUP PROJECTS,Gives good feedback,Caring,GROUP PROJECTS,Gives good feedback,Hilarious,Caring,Participation matters,Tests? Not many,Would take again,Gives good feedback,Respected,Participation matters,Gives good feedback,Get ready to read,Would take again,Clear grading criteria,GRADED BY FEW THINGS,Caring,Gives good feedback,Inspirational,Participation matters,Clear grading criteria,GROUP PROJECTS,Participation matters,Caring,GROUP PROJECTS,Participation matters,Caring,GROUP PROJECTS,Amazing lectures,GROUP PROJECTS,Participation matters,Hilarious,Caring,Gives good feedback,Participation matters,Inspirational,Respected,ACCESSIBLE OUTSIDE CLASS,Amazing lectures"
